text|url
Браво|https://www.youtube.com/watch?v=2fMycdrmamw
Dostojan|https://www.youtube.com/watch?v=2fMycdrmamw
Hahaaaa mislite kako ocete vi protiv nas , mi smo derźava sat i imamo amerikanci i Njemacka i Turska na nasu stranu i gotovu gallamite za nista vi|https://www.youtube.com/watch?v=2fMycdrmamw
ала лупеташ|https://www.youtube.com/watch?v=2fMycdrmamw
Колико си ти пара ставио у џеп за продају Косова и Метохије|https://www.youtube.com/watch?v=2fMycdrmamw
"Samo nastavi Predsednice!! ZIV I ZDRAV NAM BIO DUGO"" DUGO!!"|https://www.youtube.com/watch?v=2fMycdrmamw
Putin da prizna Kosovë Republik super Sille Kosovë Republik sada hteli Rebublike u Yugosllaviju.|https://www.youtube.com/watch?v=2fMycdrmamw
Ne daj se predsednice provokatori zele paznju nije bitno sta jadni albanci i amerikanci kazu.Rusi i kinezi su sila!|https://www.youtube.com/watch?v=2fMycdrmamw
A kome ti služoš|https://www.youtube.com/watch?v=2fMycdrmamw
Ovaj bi da bude predsjednik dok god je ziv|https://www.youtube.com/watch?v=2fMycdrmamw
Ја преседника подржавам, али овог пута небих био сигуран, да га нијесу његови западни партнери послали, да баш тако каше. И резултат тога је, да су шиптари револтирани његовом изјавом, и долазком скинули заставу украине у Приштини, и нај вероватније ће увести визе или забрани улазка на Косово за Украинце. И придобити ће симпатије Русије, а запад је свакако на њиховој страни. Зеленски ће признати Крим и пола Украине а камо ли Косово, на танко си се уже спустио преседниче плашим се.|https://www.youtube.com/watch?v=2fMycdrmamw
Boli Zelenskog ona stvar za Srbiju samo gleda svoj interes samo huškaj zlotvore|https://www.youtube.com/watch?v=2fMycdrmamw
Kad je Kosovo srbija odi na Kosovo i to im reci,,,,neka bilo tako iz srbije ode na Kosovo i pokusa to reci.|https://www.youtube.com/watch?v=2fMycdrmamw
Tako je A.V. naš. Sad ovi što te mrze samo hejtuju. Ako ovi nasilnici pobede na izborima odošmo mi na doboš . Živeo ti nama Presedniče.|https://www.youtube.com/watch?v=2fMycdrmamw
Budala..Kosovo je nezavisna država..A Čacilend neka proba krenut sa vojskom na kosovo. Opet budu se vraćali na traktorima|https://www.youtube.com/watch?v=2fMycdrmamw
